,index,timestamp_actual,timestamp_pred
0,52261,2023-10-12 10:20:00,
1,52262,2023-10-12 10:30:00,
2,52263,2023-10-12 10:40:00,
3,52264,2023-10-12 10:50:00,
4,52265,2023-10-12 11:00:00,
5,52266,2023-10-12 11:10:00,
6,52267,2023-10-12 11:20:00,
7,52268,2023-10-12 11:30:00,
8,52269,2023-10-12 11:40:00,
9,52270,2023-10-12 11:50:00,
10,52271,2023-10-12 12:00:00,
11,52272,2023-10-12 12:10:00,
12,52273,2023-10-12 12:20:00,
13,52274,2023-10-12 12:30:00,
14,52275,2023-10-12 12:40:00,
15,52276,2023-10-12 12:50:00,
16,52277,2023-10-12 13:00:00,
17,52278,2023-10-12 13:10:00,
18,52279,2023-10-12 13:20:00,
19,52280,2023-10-12 13:30:00,
20,52281,2023-10-12 13:40:00,
21,52282,2023-10-12 13:50:00,
22,52283,2023-10-12 14:00:00,
23,52284,2023-10-12 14:10:00,
24,52285,2023-10-12 14:20:00,
25,52286,2023-10-12 14:30:00,
26,52287,2023-10-12 14:40:00,
27,52288,2023-10-12 14:50:00,
28,52289,2023-10-12 15:00:00,
29,52290,2023-10-12 15:10:00,
30,52291,2023-10-12 15:20:00,
31,52292,2023-10-12 15:30:00,
32,52293,2023-10-12 15:40:00,
33,52294,2023-10-12 15:50:00,
34,52295,2023-10-12 16:00:00,
35,52296,2023-10-12 16:10:00,
36,52297,2023-10-12 16:20:00,
37,52298,2023-10-12 16:30:00,
38,52299,2023-10-12 16:40:00,
39,52300,2023-10-12 16:50:00,
40,52301,2023-10-12 17:00:00,
41,52302,2023-10-12 17:10:00,
42,52303,2023-10-12 17:20:00,
43,52304,2023-10-12 17:30:00,
44,52305,2023-10-12 17:40:00,
45,52306,2023-10-12 17:50:00,
46,52307,2023-10-12 18:00:00,
47,52308,2023-10-12 18:10:00,
48,52309,2023-10-12 18:20:00,
49,52310,2023-10-12 18:30:00,
50,52311,2023-10-12 18:40:00,
51,52312,2023-10-12 18:50:00,
52,52313,2023-10-12 19:00:00,
53,52314,2023-10-12 19:10:00,
54,52315,2023-10-12 19:20:00,
55,52316,2023-10-12 19:30:00,
56,52317,2023-10-12 19:40:00,
57,52318,2023-10-12 19:50:00,
58,52319,2023-10-12 20:00:00,
59,52320,2023-10-12 20:10:00,
60,52321,2023-10-12 20:20:00,
61,52322,2023-10-12 20:30:00,
62,52323,2023-10-12 20:40:00,
63,52324,2023-10-12 20:50:00,
64,52325,2023-10-12 21:00:00,
65,52326,2023-10-12 21:10:00,
66,52327,2023-10-12 21:20:00,
67,52328,2023-10-12 21:30:00,
68,52329,2023-10-12 21:40:00,
69,52330,2023-10-12 21:50:00,
70,52331,2023-10-12 22:00:00,
71,52332,2023-10-12 22:10:00,
72,52333,2023-10-12 22:20:00,
73,52334,2023-10-12 22:30:00,
74,52335,2023-10-12 22:40:00,
75,52336,2023-10-12 22:50:00,
76,52337,2023-10-12 23:00:00,
77,52338,2023-10-12 23:10:00,
78,52339,2023-10-12 23:20:00,
79,52340,2023-10-12 23:30:00,
80,52341,2023-10-12 23:40:00,
81,52342,2023-10-12 23:50:00,
82,52343,2023-10-13 00:00:00,
83,52344,2023-10-13 00:10:00,
84,52345,2023-10-13 00:20:00,
85,52346,2023-10-13 00:30:00,
86,52347,2023-10-13 00:40:00,
87,52348,2023-10-13 00:50:00,
88,52349,2023-10-13 01:00:00,
89,52350,2023-10-13 01:10:00,
90,52351,2023-10-13 01:20:00,
91,52352,2023-10-13 01:30:00,
92,52353,2023-10-13 01:40:00,
93,52354,2023-10-13 01:50:00,
94,52355,2023-10-13 02:00:00,
95,52356,2023-10-13 02:10:00,
96,52357,2023-10-13 02:20:00,
97,52358,2023-10-13 02:30:00,
98,52359,2023-10-13 02:40:00,
99,52360,2023-10-13 02:50:00,
100,52361,2023-10-13 03:00:00,
101,52362,2023-10-13 03:10:00,
102,52363,2023-10-13 03:20:00,
103,52364,2023-10-13 03:30:00,
104,52365,2023-10-13 03:40:00,
105,52366,2023-10-13 03:50:00,
106,52367,2023-10-13 04:00:00,
107,52368,2023-10-13 04:10:00,
108,52369,2023-10-13 04:20:00,
109,52370,2023-10-13 04:30:00,
110,52371,2023-10-13 04:40:00,
111,52372,2023-10-13 04:50:00,
112,52373,2023-10-13 05:00:00,
113,52374,2023-10-13 05:10:00,
